epoch,C50_val_loss,C50_val_loss_min,C50_val_loss_max,C100_val_loss,C100_val_loss_min,C100_val_loss_max,C150_val_loss,C150_val_loss_min,C150_val_loss_max,C200_val_loss,C200_val_loss_min,C200_val_loss_max
128,,,,,,,0.87538,0.8702,0.8791,0.86984,0.863,0.8747
129,,,,,,,0.87504,0.8695,0.8788,0.87108,0.8623,0.8751
130,,,,,,,0.87406,0.8706,0.8766,0.86922,0.8628,0.8736
131,,,,,,,0.87452,0.8706,0.8773,0.87214,0.8649,0.876
132,,,,,,,0.87496,0.8697,0.8783,0.87146,0.8613,0.8757
133,,,,,,,0.87522,0.8717,0.8792,0.8726,0.8686,0.8766
134,,,,,,,0.87554,0.8711,0.879,0.87236,0.8659,0.8773
135,,,,,,,0.87544,0.8699,0.8787,0.87298,0.866,0.8776
136,,,,,,,0.87548,0.8703,0.8788,0.8733,0.8696,0.8775
137,,,,,,,0.87558,0.8705,0.8797,0.87282,0.8665,0.8764
138,,,,,,,0.87634,0.8715,0.8791,0.87292,0.8683,0.8751
139,,,,,,,0.8753,0.8719,0.8782,0.87232,0.8659,0.8747
140,,,,,,,0.87542,0.8705,0.8797,0.87222,0.8673,0.8744
141,,,,,,,0.87526,0.8707,0.8789,0.87326,0.8675,0.8781
142,,,,,,,0.8762,0.8718,0.8796,0.8728,0.8675,0.8767
143,,,,,,,0.87654,0.8712,0.881,0.87358,0.8666,0.8767
144,,,,,,,0.87614,0.8715,0.8803,0.87332,0.8673,0.877
145,,,,,,,0.87624,0.8709,0.8809,0.87296,0.8669,0.8768
146,,,,,,,0.8757,0.8697,0.8798,0.8731,0.8677,0.8761
147,,,,,,,0.876,0.8717,0.8795,0.87312,0.8697,0.8768
148,,,,,,,0.87628,0.872,0.8798,0.87336,0.8673,0.8764
149,,,,,,,0.87618,0.873,0.8799,0.87322,0.8708,0.8763
150,,,,,,,0.87642,0.8714,0.8801,0.87318,0.868,0.8776
151,,,,,,,,,,0.87344,0.8657,0.8778
152,,,,,,,,,,0.87478,0.8683,0.8791
153,,,,,,,,,,0.8738,0.8693,0.8774
154,,,,,,,,,,0.8743,0.8696,0.8788
155,,,,,,,,,,0.87422,0.8691,0.876
156,,,,,,,,,,0.87482,0.8692,0.8776
157,,,,,,,,,,0.87474,0.8705,0.8774
158,,,,,,,,,,0.8738,0.8681,0.8782
159,,,,,,,,,,0.87534,0.8695,0.8787
160,,,,,,,,,,0.87596,0.8693,0.8792
161,,,,,,,,,,0.8749,0.8695,0.8774
162,,,,,,,,,,0.87512,0.8706,0.8791
163,,,,,,,,,,0.87552,0.8718,0.8777
164,,,,,,,,,,0.87594,0.8707,0.8798
165,,,,,,,,,,0.8748,0.8697,0.8783
166,,,,,,,,,,0.87602,0.8707,0.8788
167,,,,,,,,,,0.87626,0.8715,0.8776
168,,,,,,,,,,0.876,0.8697,0.8797
169,,,,,,,,,,0.87596,0.8709,0.8797
170,,,,,,,,,,0.87544,0.8685,0.8785
